student id,Gender,scores submitted,SAT Reading Writing Range,SAT Math Range,ACT Composite Range,High School Ranking,GPA Range,Out of State Flag,Housing,Non-Traditional Student,Transfer Student,Full-Time
282-82-1116,Female,ACT,,,30-36,Top Half,2.50-2.99,Yes,College Owned/Operated,No,No,Yes
557-69-5884,Male,SAT,500-599,500-599,,Top Half,2.50-2.99,No,Off-Campus,No,No,Yes
835-04-5145,Female,ACT,,,12-17,Top Quarter,3.75+,Yes,College Owned/Operated,No,No,Yes
963-16-3099,Female,SAT,500-599,400-499,,Top Half,3.75+,No,College Owned/Operated,No,No,Yes
313-21-1023,Male,SAT,500-599,500-599,,,3.50-3.74,No,College Owned/Operated,No,No,Yes
784-32-3985,Male,SAT,500-599,500-599,,Bottom Half,3.25-3.49,No,College Owned/Operated,No,No,Yes
001-64-4958,Female,ACT,,,18-23,,1.0-1.99,No,College Owned/Operated,No,No,No
366-80-5391,Male,SAT,400-499,500-599,,,3.75+,No,College Owned/Operated,No,No,Yes
101-09-4515,Male,ACT,,,18-23,Top Quarter,3.50-3.74,No,College Owned/Operated,No,No,No
287-19-8327,Male,ACT,,,18-23,Top Half,2.0-2.49,No,College Owned/Operated,No,No,Yes
655-30-4074,Male,ACT,,,30-36,,3.00-3.24,No,College Owned/Operated,No,No,Yes
555-42-5820,Female,ACT,,,12-17,,3.75+,No,College Owned/Operated,No,No,No
119-10-9961,Male,ACT,,,12-17,Top Quarter,3.50-3.74,No,College Owned/Operated,No,No,Yes
967-28-3929,Male,ACT,,,24-29,,3.50-3.74,No,College Owned/Operated,No,No,Yes
171-29-9348,Male,ACT,,,30-36,,3.75+,No,College Owned/Operated,No,No,Yes
509-14-1750,Male,SAT,400-499,400-499,,,2.50-2.99,No,Off-Campus,No,No,No
966-64-2476,Female,ACT,,,30-36,,1.0-1.99,No,College Owned/Operated,No,No,Yes
826-59-9313,Male,ACT,,,30-36,,2.50-2.99,No,College Owned/Operated,No,No,No
739-18-4046,Male,ACT,,,18-23,,3.00-3.24,No,College Owned/Operated,No,No,Yes
380-45-7667,Female,ACT,,,18-23,Top Quarter,3.00-3.24,No,College Owned/Operated,No,No,Yes
870-29-8617,Female,SAT,500-599,500-599,,,3.00-3.24,No,College Owned/Operated,No,No,Yes
621-51-0132,Female,SAT,500-599,500-599,,Top Half,3.75+,Yes,College Owned/Operated,No,No,Yes
221-95-0004,Female,ACT,,,18-23,Bottom Half,2.0-2.49,No,College Owned/Operated,No,No,No
712-65-9865,Female,ACT,,,24-29,,3.50-3.74,No,Off-Campus,No,No,Yes
034-67-2637,Female,ACT,,,24-29,Top Half,3.75+,No,College Owned/Operated,No,No,Yes
483-15-0784,Male,SAT,400-499,500-599,,,2.0-2.49,No,College Owned/Operated,No,No,Yes
962-95-7492,Female,ACT,,,18-23,Bottom Half,3.50-3.74,Yes,Off-Campus,No,No,No
310-88-8906,Female,ACT,,,18-23,,2.0-2.49,No,College Owned/Operated,No,No,Yes
669-46-2095,Female,ACT,,,24-29,,3.75+,No,Off-Campus,No,No,Yes
840-39-3011,Male,SAT,400-499,400-499,,Top Quarter,3.50-3.74,No,College Owned/Operated,No,No,Yes
428-58-3629,Female,ACT,,,18-23,Top Half,3.50-3.74,No,College Owned/Operated,No,No,No
989-24-5584,Male,ACT,,,18-23,,2.50-2.99,Yes,College Owned/Operated,No,No,No
598-19-3376,Female,SAT,500-599,500-599,,,3.75+,No,College Owned/Operated,No,No,Yes
451-98-5256,Female,ACT,,,24-29,,2.0-2.49,No,College Owned/Operated,No,No,Yes
760-05-0743,Male,SAT,400-499,500-599,,,2.0-2.49,No,College Owned/Operated,No,No,Yes
759-74-0166,Male,SAT,500-599,400-499,,,2.50-2.99,No,College Owned/Operated,No,No,Yes
258-43-3372,Male,ACT,,,18-23,Top Half,3.50-3.74,No,College Owned/Operated,No,No,Yes
336-40-0511,Female,ACT,,,18-23,Bottom Half,3.75+,No,College Owned/Operated,No,No,Yes
415-27-9528,Male,SAT,600-699,400-499,,Top Half,2.0-2.49,No,College Owned/Operated,No,No,Yes
660-56-0395,Male,SAT,500-599,400-499,,Bottom Half,3.50-3.74,No,College Owned/Operated,No,No,No
201-78-6651,Male,ACT,,,18-23,,3.00-3.24,No,College Owned/Operated,No,No,No
435-68-1948,Female,SAT,500-599,500-599,,Top Half,3.75+,No,College Owned/Operated,No,No,Yes
789-25-7835,Male,ACT,,,24-29,Top 10,3.50-3.74,No,College Owned/Operated,No,No,Yes
762-60-0944,Trans,ACT,,,18-23,Top Quarter,3.00-3.24,No,College Owned/Operated,No,No,Yes
684-03-3306,Male,SAT,500-599,600-699,,Bottom Quarter,1.0-1.99,Yes,College Owned/Operated,No,No,Yes
068-92-5475,Male,ACT,,,30-36,Top Half,2.50-2.99,No,Off-Campus,No,Yes,No
278-79-3564,Male,SAT,500-599,400-499,,Top Half,2.0-2.49,No,College Owned/Operated,No,No,Yes
102-06-0849,Male,SAT,400-499,500-599,,Top Quarter,3.75+,No,College Owned/Operated,No,No,Yes
900-64-4167,Male,SAT,500-599,400-499,,Bottom Half,1.0-1.99,No,College Owned/Operated,No,No,Yes
094-25-1746,Female,ACT,,,18-23,,3.50-3.74,Yes,College Owned/Operated,No,Yes,No
405-57-9433,Male,ACT,,,18-23,Top Quarter,3.75+,No,College Owned/Operated,No,No,No
958-74-6477,Female,SAT,500-599,400-499,,,2.0-2.49,No,College Owned/Operated,No,No,No
850-41-4320,Male,ACT,,,30-36,Top Half,2.50-2.99,No,College Owned/Operated,No,No,Yes
228-54-5457,Male,SAT,500-599,500-599,,,3.75+,No,College Owned/Operated,No,No,Yes
134-67-9043,Female,ACT,,,18-23,,3.75+,No,College Owned/Operated,No,No,Yes
788-93-2923,Male,SAT,500-599,500-599,,,3.00-3.24,No,College Owned/Operated,No,No,Yes
714-43-6326,Female,ACT,,,24-29,,3.25-3.49,No,College Owned/Operated,No,No,Yes
032-45-8802,Female,ACT,,,30-36,Top Quarter,1.0-1.99,No,College Owned/Operated,No,No,Yes
364-20-7104,Female,SAT,400-499,400-499,,Bottom Half,3.25-3.49,No,Off-Campus,No,No,Yes
379-35-1082,Female,ACT,,,12-17,Bottom Half,2.0-2.49,No,Off-Campus,No,No,Yes
228-39-2748,Female,SAT,400-499,400-499,,Top Half,3.25-3.49,No,College Owned/Operated,No,No,Yes
922-92-5182,Not Disclosed,ACT,,,18-23,Top Half,2.0-2.49,No,College Owned/Operated,No,No,No
923-15-8369,Female,ACT,,,30-36,,3.00-3.24,No,College Owned/Operated,No,No,Yes
564-12-2980,Female,SAT,500-599,400-499,,Top Half,3.50-3.74,No,College Owned/Operated,No,No,No
697-19-9247,Female,ACT,,,18-23,,1.0-1.99,No,College Owned/Operated,No,No,Yes
231-78-3733,Female,ACT,,,18-23,Top 10,3.75+,No,College Owned/Operated,No,No,No
601-56-0917,Male,SAT,400-499,400-499,,Bottom Half,3.75+,No,College Owned/Operated,No,No,Yes
523-41-5017,Female,ACT,,,18-23,Top Half,3.50-3.74,No,College Owned/Operated,No,No,No
421-24-2891,Female,SAT,500-599,400-499,,,2.50-2.99,No,College Owned/Operated,No,No,Yes
382-01-5595,Male,ACT,,,12-17,,3.50-3.74,No,College Owned/Operated,No,No,Yes
997-69-2100,Trans,ACT,,,18-23,Top Quarter,3.75+,No,College Owned/Operated,No,No,Yes
598-99-3179,Male,ACT,,,18-23,Top Half,1.0-1.99,No,College Owned/Operated,No,No,Yes
669-37-1266,Female,ACT,,,24-29,,3.25-3.49,No,College Owned/Operated,No,No,No
520-04-5225,Female,ACT,,,12-17,,2.50-2.99,No,College Owned/Operated,No,No,Yes
662-55-4616,Male,ACT,,,18-23,Top Half,2.0-2.49,No,College Owned/Operated,No,No,Yes
827-39-0307,Male,ACT,,,18-23,Bottom Half,2.0-2.49,No,College Owned/Operated,No,No,No
374-34-4645,Male,ACT,,,24-29,Bottom Quarter,1.0-1.99,No,College Owned/Operated,No,No,No
988-20-8385,Male,SAT,400-499,500-599,,Top Half,2.0-2.49,No,College Owned/Operated,No,No,No
672-61-6743,Male,ACT,,,30-36,,2.50-2.99,No,College Owned/Operated,No,No,Yes
463-53-2809,Male,SAT,400-499,400-499,,,2.50-2.99,No,College Owned/Operated,No,No,No
052-08-0603,Male,SAT,400-499,400-499,,Bottom Half,3.50-3.74,No,College Owned/Operated,No,No,Yes
414-21-7467,Female,ACT,,,18-23,,2.50-2.99,No,Off-Campus,No,No,Yes
068-45-0423,Female,ACT,,,18-23,,3.25-3.49,No,College Owned/Operated,No,No,Yes
812-02-5254,Male,ACT,,,24-29,,2.50-2.99,No,College Owned/Operated,No,No,Yes
970-21-3019,Female,ACT,,,18-23,Bottom Half,3.25-3.49,No,Off-Campus,No,Yes,Yes
765-58-9431,Male,ACT,,,12-17,,2.50-2.99,No,College Owned/Operated,No,No,No
702-76-0534,Female,ACT,,,18-23,,1.0-1.99,No,College Owned/Operated,No,No,Yes
317-91-9965,Male,ACT,,,24-29,,3.50-3.74,No,College Owned/Operated,No,No,No
650-39-5603,Female,SAT,600-699,500-599,,,3.50-3.74,No,College Owned/Operated,No,No,Yes
615-94-4948,Female,ACT,,,18-23,Top Half,3.00-3.24,No,College Owned/Operated,No,No,No
189-51-5570,Male,ACT,,,18-23,Top Half,3.25-3.49,No,College Owned/Operated,No,No,Yes
789-13-8642,Female,ACT,,,18-23,Top Half,3.25-3.49,No,College Owned/Operated,No,No,Yes
919-04-2943,Female,ACT,,,24-29,,3.75+,No,College Owned/Operated,No,No,Yes
748-59-0217,Not Disclosed,ACT,,,18-23,Top Half,3.50-3.74,No,College Owned/Operated,No,No,No
792-35-9281,Female,ACT,,,24-29,,3.50-3.74,No,College Owned/Operated,No,No,Yes
714-39-5627,Female,SAT,600-699,500-599,,Bottom Half,2.50-2.99,No,College Owned/Operated,No,No,Yes
601-19-1553,Male,SAT,500-599,500-599,,,3.00-3.24,No,College Owned/Operated,No,No,Yes
489-57-7583,Female,SAT,600-699,600-699,,,1.0-1.99,No,Off-Campus,No,No,Yes
325-83-5605,Female,SAT,500-599,400-499,,Top Quarter,2.50-2.99,No,College Owned/Operated,No,No,Yes
051-06-2736,Female,ACT,,,18-23,Top Half,3.25-3.49,No,College Owned/Operated,No,No,Yes
728-26-9714,Female,ACT,,,18-23,Top Quarter,3.75+,No,College Owned/Operated,No,No,Yes
738-26-0540,Female,ACT,,,12-17,,3.25-3.49,No,College Owned/Operated,No,No,Yes
566-98-2782,Male,ACT,,,18-23,Top 10,3.50-3.74,No,College Owned/Operated,No,Yes,Yes
929-87-3950,Female,SAT,400-499,500-599,,,2.0-2.49,Yes,College Owned/Operated,No,No,No
166-47-0407,Male,SAT,400-499,600-699,,Bottom Half,2.50-2.99,No,Off-Campus,No,No,Yes
590-81-0337,Male,SAT,500-599,600-699,,,3.00-3.24,No,College Owned/Operated,No,No,No
637-39-6823,Male,SAT,400-499,400-499,,,2.50-2.99,No,College Owned/Operated,No,No,No
013-87-4543,Male,ACT,,,18-23,Bottom Half,3.75+,No,College Owned/Operated,No,No,Yes
965-67-4867,Female,ACT,,,24-29,,2.0-2.49,No,Off-Campus,No,No,No
728-89-3817,Female,ACT,,,18-23,,1.0-1.99,No,College Owned/Operated,No,No,Yes
049-18-8411,Male,ACT,,,12-17,Top Quarter,2.50-2.99,No,College Owned/Operated,No,No,Yes
149-17-3680,Female,ACT,,,18-23,,2.0-2.49,Yes,Off-Campus,No,No,Yes
521-93-9998,Male,SAT,400-499,500-599,,,3.50-3.74,No,College Owned/Operated,No,No,No
023-16-2027,Male,SAT,600-699,500-599,,Top Quarter,3.00-3.24,No,College Owned/Operated,No,No,Yes
012-57-1919,Female,SAT,500-599,600-699,,Top Half,3.25-3.49,No,Off-Campus,No,Yes,Yes
730-04-6518,Female,SAT,400-499,400-499,,,1.0-1.99,No,Off-Campus,Yes,No,No
474-64-1773,Male,ACT,,,30-36,,3.25-3.49,No,Off-Campus,No,No,No
424-37-2212,Male,ACT,,,18-23,Top Half,3.25-3.49,No,College Owned/Operated,No,No,No
857-03-0023,Male,SAT,500-599,500-599,,,3.25-3.49,No,College Owned/Operated,No,No,No
422-40-6096,Female,SAT,600-699,500-599,,,3.50-3.74,No,College Owned/Operated,No,No,Yes
512-34-5173,Female,ACT,,,18-23,Bottom Half,2.0-2.49,No,College Owned/Operated,No,No,No
582-68-5293,Female,ACT,,,30-36,,3.25-3.49,No,College Owned/Operated,No,No,Yes
301-31-3166,Male,SAT,500-599,400-499,,Bottom Half,2.0-2.49,No,College Owned/Operated,Yes,No,Yes
552-79-5263,Male,ACT,,,12-17,,2.0-2.49,No,College Owned/Operated,No,No,Yes
247-03-8799,Female,SAT,500-599,500-599,,Bottom Half,1.0-1.99,No,College Owned/Operated,No,No,Yes
444-93-4937,Female,SAT,500-599,500-599,,Top 10,3.75+,No,Off-Campus,No,No,Yes
927-45-4423,Female,ACT,,,24-29,,3.75+,Yes,College Owned/Operated,No,No,Yes
330-39-8232,Male,SAT,300-399,400-499,,Top Half,3.00-3.24,No,College Owned/Operated,No,No,Yes
514-48-3566,Male,ACT,,,18-23,Top Quarter,3.50-3.74,No,Off-Campus,No,No,Yes
626-15-9441,Male,SAT,500-599,600-699,,Bottom Half,3.25-3.49,No,College Owned/Operated,No,No,Yes
565-53-6155,Female,SAT,500-599,500-599,,Bottom Half,3.50-3.74,No,College Owned/Operated,No,No,No
273-42-5033,Male,ACT,,,24-29,Bottom Half,2.0-2.49,No,College Owned/Operated,No,No,Yes
776-34-6775,Male,ACT,,,30-36,Top Half,2.50-2.99,No,College Owned/Operated,No,No,Yes
152-17-1290,Female,SAT,400-499,600-699,,Top Half,3.25-3.49,Yes,College Owned/Operated,Yes,No,No
739-83-1691,Female,ACT,,,12-17,,2.50-2.99,No,College Owned/Operated,No,No,Yes
738-19-2799,Female,ACT,,,18-23,Top Half,3.50-3.74,No,College Owned/Operated,No,No,Yes
507-20-4148,Female,SAT,500-599,500-599,,Top Half,2.0-2.49,No,College Owned/Operated,No,No,No
535-75-3231,Male,SAT,500-599,500-599,,,3.25-3.49,No,College Owned/Operated,Yes,No,Yes
500-32-9890,Male,ACT,,,12-17,Top Half,1.0-1.99,No,College Owned/Operated,No,No,Yes
973-73-8980,Male,ACT,,,18-23,Bottom Half,1.0-1.99,No,Off-Campus,No,Yes,Yes
825-44-4369,Not Disclosed,ACT,,,18-23,Bottom Half,3.50-3.74,No,College Owned/Operated,No,No,Yes
073-10-7223,Male,ACT,,,18-23,Top Quarter,1.0-1.99,No,College Owned/Operated,No,No,Yes
574-73-8650,Female,ACT,,,12-17,Top Half,3.75+,No,College Owned/Operated,No,No,Yes
526-95-6855,Female,ACT,,,18-23,Top Quarter,1.0-1.99,No,College Owned/Operated,No,No,No
396-80-5850,Male,SAT,500-599,500-599,,Bottom Half,3.00-3.24,No,Off-Campus,No,No,Yes
897-31-1992,Male,SAT,500-599,500-599,,Top Half,3.50-3.74,No,College Owned/Operated,No,No,Yes
500-62-7414,Female,ACT,,,12-17,Top Half,3.25-3.49,No,College Owned/Operated,No,No,Yes
321-77-8242,Male,SAT,600-699,600-699,,Top Half,3.75+,No,College Owned/Operated,No,No,Yes
825-62-7844,Female,ACT,,,18-23,Top Half,2.50-2.99,No,College Owned/Operated,No,Yes,Yes
684-65-2067,Female,ACT,,,18-23,Bottom Half,2.0-2.49,No,College Owned/Operated,No,Yes,Yes
489-88-0994,Male,SAT,500-599,500-599,,Top Half,2.50-2.99,No,College Owned/Operated,No,No,No
827-99-8328,Male,SAT,600-699,500-599,,Top Half,2.0-2.49,No,College Owned/Operated,No,No,Yes
711-75-5478,Female,ACT,,,18-23,Bottom Quarter,3.25-3.49,No,College Owned/Operated,No,No,Yes
857-61-2225,Male,ACT,,,24-29,,3.25-3.49,No,College Owned/Operated,No,No,Yes
413-21-8853,Female,SAT,500-599,500-599,,Top Quarter,3.00-3.24,No,College Owned/Operated,No,No,No
337-62-2785,Female,ACT,,,18-23,Top Quarter,3.75+,No,Off-Campus,No,No,Yes
396-98-5591,Male,SAT,500-599,500-599,,Bottom Half,3.50-3.74,No,College Owned/Operated,No,No,Yes
613-79-1344,Female,ACT,,,18-23,,3.75+,No,College Owned/Operated,No,No,No
220-29-0797,Female,SAT,500-599,500-599,,Bottom Quarter,3.50-3.74,No,College Owned/Operated,No,No,Yes
282-83-0722,Male,ACT,,,18-23,,1.0-1.99,No,Off-Campus,No,Yes,Yes
117-24-7886,Male,SAT,500-599,600-699,,Top Half,2.50-2.99,No,College Owned/Operated,No,No,Yes
691-43-8062,Female,SAT,500-599,500-599,,Top Half,2.50-2.99,No,Off-Campus,No,No,Yes
662-06-0824,Male,SAT,500-599,500-599,,Top Half,3.00-3.24,No,College Owned/Operated,No,No,Yes
687-58-1751,Female,ACT,,,18-23,,2.0-2.49,No,College Owned/Operated,No,No,Yes
983-04-4521,Female,SAT,500-599,500-599,,Top Half,1.0-1.99,No,College Owned/Operated,No,No,No
566-56-9496,Female,SAT,700-800,500-599,,,3.00-3.24,No,College Owned/Operated,No,No,No
987-50-1517,Female,SAT,500-599,500-599,,,3.00-3.24,No,College Owned/Operated,No,No,Yes
064-68-6737,Female,ACT,,,30-36,Top 10,3.50-3.74,No,College Owned/Operated,No,No,No
968-08-5172,Male,SAT,500-599,400-499,,,3.25-3.49,No,College Owned/Operated,No,No,Yes
986-19-7976,Female,ACT,,,24-29,Top Half,3.00-3.24,Yes,College Owned/Operated,No,No,No
410-03-3876,Female,ACT,,,18-23,Bottom Half,2.0-2.49,No,College Owned/Operated,No,No,Yes
405-26-3605,Male,ACT,,,30-36,Top Quarter,3.00-3.24,Yes,College Owned/Operated,Yes,No,Yes
740-13-4103,Male,ACT,,,12-17,Top Quarter,1.0-1.99,No,College Owned/Operated,No,No,Yes
592-53-8599,Female,ACT,,,18-23,Bottom Half,3.25-3.49,No,College Owned/Operated,No,No,No
911-74-9115,Male,ACT,,,24-29,Bottom Half,2.50-2.99,No,Off-Campus,No,No,No
371-50-7536,Female,SAT,400-499,600-699,,Top Half,3.50-3.74,Yes,College Owned/Operated,No,No,Yes
663-26-1521,Female,ACT,,,18-23,Bottom Half,1.0-1.99,No,College Owned/Operated,No,No,Yes
559-47-0924,Female,ACT,,,18-23,,3.50-3.74,No,Off-Campus,No,Yes,No
019-51-4459,Male,ACT,,,24-29,,3.50-3.74,No,College Owned/Operated,No,No,No
479-30-7176,Female,ACT,,,18-23,,1.0-1.99,No,College Owned/Operated,No,No,Yes
814-04-9779,Female,ACT,,,18-23,,3.75+,No,Off-Campus,No,No,Yes
242-02-4118,Female,ACT,,,30-36,Top Half,1.0-1.99,No,College Owned/Operated,No,No,Yes
861-27-5159,Male,SAT,500-599,600-699,,Top Half,3.75+,No,College Owned/Operated,No,No,No
182-14-3156,Male,ACT,,,18-23,,1.0-1.99,No,College Owned/Operated,No,No,Yes
382-96-6260,Male,ACT,,,30-36,,3.00-3.24,Yes,College Owned/Operated,No,No,Yes
135-64-3475,Female,SAT,400-499,400-499,,Bottom Half,3.00-3.24,No,College Owned/Operated,No,No,Yes
683-21-8558,Male,SAT,600-699,500-599,,Top Half,3.00-3.24,No,College Owned/Operated,No,No,Yes
720-53-9601,Male,SAT,600-699,500-599,,Top Half,3.25-3.49,No,College Owned/Operated,No,No,No
260-66-1996,Male,SAT,600-699,500-599,,,2.50-2.99,No,College Owned/Operated,No,No,Yes
455-62-8305,Trans,ACT,,,12-17,Top Half,3.25-3.49,No,College Owned/Operated,No,No,No
948-84-5220,Female,SAT,500-599,500-599,,,3.75+,No,College Owned/Operated,No,No,Yes
264-08-7639,Male,ACT,,,18-23,Bottom Half,3.75+,No,Off-Campus,No,Yes,Yes
538-46-9381,Female,SAT,600-699,500-599,,Top Half,3.25-3.49,No,College Owned/Operated,No,No,Yes
118-68-4717,Male,ACT,,,18-23,Bottom Half,1.0-1.99,No,College Owned/Operated,Yes,No,Yes
962-62-2779,Male,SAT,600-699,400-499,,,2.0-2.49,No,College Owned/Operated,No,Yes,Yes
341-76-6374,Female,SAT,500-599,500-599,,,1.0-1.99,No,College Owned/Operated,No,No,Yes
852-82-8405,Male,SAT,500-599,500-599,,Top Half,1.0-1.99,No,College Owned/Operated,No,No,Yes
980-44-5528,Female,SAT,400-499,500-599,,Top Half,2.50-2.99,No,College Owned/Operated,No,No,Yes
254-44-6291,Female,SAT,600-699,500-599,,Top Half,2.50-2.99,No,College Owned/Operated,No,No,Yes
186-64-5526,Female,SAT,400-499,500-599,,,3.00-3.24,No,College Owned/Operated,No,No,No
444-44-1357,Female,SAT,400-499,500-599,,,2.50-2.99,No,College Owned/Operated,No,No,Yes
748-03-7249,Male,ACT,,,18-23,Top Half,2.50-2.99,No,Off-Campus,No,No,No
399-75-7913,Female,SAT,500-599,400-499,,,2.50-2.99,Yes,College Owned/Operated,No,No,No
886-36-1700,Male,ACT,,,18-23,Top 10,2.50-2.99,No,Off-Campus,No,No,Yes
490-81-4299,Female,SAT,500-599,500-599,,Top Quarter,3.00-3.24,No,College Owned/Operated,No,No,No
494-35-9052,Male,SAT,500-599,400-499,,Top Half,3.00-3.24,No,College Owned/Operated,No,No,Yes
392-00-4096,Male,SAT,400-499,400-499,,,3.00-3.24,No,College Owned/Operated,No,No,Yes
995-07-3564,Female,SAT,500-599,500-599,,,1.0-1.99,No,College Owned/Operated,No,No,Yes
769-92-8733,Female,ACT,,,18-23,,2.50-2.99,No,College Owned/Operated,No,No,Yes
964-43-9374,Male,ACT,,,18-23,Bottom Half,1.0-1.99,No,College Owned/Operated,No,No,Yes
359-02-2221,Female,SAT,500-599,500-599,,,3.75+,No,College Owned/Operated,No,No,Yes
042-60-9405,Male,ACT,,,24-29,Top Half,2.0-2.49,No,Off-Campus,No,No,Yes
228-52-3916,Male,ACT,,,18-23,,2.50-2.99,No,College Owned/Operated,No,No,Yes
546-72-9689,Female,SAT,500-599,600-699,,,3.00-3.24,No,College Owned/Operated,No,No,Yes
257-04-5243,Female,ACT,,,24-29,Bottom Quarter,3.50-3.74,Yes,College Owned/Operated,No,No,No
644-10-0243,Male,SAT,400-499,400-499,,,2.50-2.99,No,College Owned/Operated,No,No,Yes
880-68-8493,Male,ACT,,,18-23,Top Half,3.50-3.74,No,College Owned/Operated,No,No,Yes
348-50-0712,Male,SAT,500-599,500-599,,Bottom Half,2.0-2.49,Yes,College Owned/Operated,No,No,Yes
330-40-1043,Male,ACT,,,12-17,,3.00-3.24,No,College Owned/Operated,No,No,Yes
374-22-8534,Female,ACT,,,18-23,,1.0-1.99,No,College Owned/Operated,No,No,Yes
774-46-2647,Female,ACT,,,18-23,,2.50-2.99,No,College Owned/Operated,No,No,Yes
937-56-6128,Female,ACT,,,18-23,Top Half,3.50-3.74,No,College Owned/Operated,No,No,Yes
259-46-9615,Male,SAT,500-599,500-599,,Top Quarter,3.75+,Yes,College Owned/Operated,No,No,No
685-27-0816,Female,ACT,,,18-23,,3.00-3.24,No,College Owned/Operated,No,No,No
633-14-9472,Male,SAT,500-599,600-699,,,3.75+,No,College Owned/Operated,No,No,Yes
104-87-9893,Male,SAT,500-599,400-499,,,3.00-3.24,No,College Owned/Operated,No,No,No
823-26-7002,Male,ACT,,,24-29,,3.50-3.74,No,College Owned/Operated,No,No,No
583-63-5337,Male,ACT,,,18-23,,2.50-2.99,No,College Owned/Operated,No,No,Yes
853-71-9005,Female,ACT,,,12-17,Top Half,2.50-2.99,No,College Owned/Operated,No,No,Yes
382-91-0142,Male,SAT,600-699,500-599,,,3.25-3.49,No,College Owned/Operated,No,No,Yes
861-07-7195,Female,ACT,,,18-23,,2.0-2.49,Yes,College Owned/Operated,No,No,Yes
435-47-7035,Male,ACT,,,12-17,,3.00-3.24,No,College Owned/Operated,Yes,No,Yes
341-01-8111,Male,SAT,400-499,500-599,,Top Quarter,1.0-1.99,No,College Owned/Operated,No,No,No
783-29-3522,Female,ACT,,,12-17,Top Half,1.0-1.99,No,College Owned/Operated,No,No,Yes
336-78-5282,Male,ACT,,,18-23,Bottom Half,3.00-3.24,No,College Owned/Operated,No,No,Yes
679-06-9316,Male,ACT,,,30-36,Top Half,2.50-2.99,No,College Owned/Operated,No,No,Yes
729-89-5433,Female,SAT,600-699,500-599,,Top Half,3.00-3.24,No,College Owned/Operated,No,No,No
110-19-7447,Female,ACT,,,18-23,Bottom Half,3.00-3.24,No,College Owned/Operated,No,Yes,Yes
283-32-5123,Female,ACT,,,24-29,,2.50-2.99,Yes,College Owned/Operated,No,No,Yes
906-24-6100,Female,SAT,600-699,500-599,,,2.50-2.99,No,College Owned/Operated,No,No,No
421-04-2404,Male,SAT,500-599,500-599,,,3.50-3.74,No,College Owned/Operated,No,No,Yes
039-94-6648,Male,SAT,600-699,500-599,,Top Half,3.50-3.74,No,College Owned/Operated,No,No,Yes
507-23-3738,Female,SAT,400-499,600-699,,,3.50-3.74,Yes,College Owned/Operated,No,No,Yes
149-49-9773,Female,ACT,,,12-17,Top Half,3.25-3.49,No,College Owned/Operated,No,No,Yes
559-77-9528,Female,ACT,,,18-23,,3.25-3.49,No,College Owned/Operated,No,No,No
055-09-7224,Female,SAT,500-599,600-699,,,3.00-3.24,No,Off-Campus,No,No,No
904-45-7494,Male,ACT,,,18-23,Top Half,2.0-2.49,No,College Owned/Operated,No,No,No
177-25-3295,Male,SAT,500-599,500-599,,Bottom Half,3.00-3.24,No,College Owned/Operated,No,No,Yes
728-28-1011,Female,ACT,,,18-23,,3.50-3.74,No,College Owned/Operated,No,No,Yes
429-08-6280,Female,SAT,400-499,400-499,,Bottom Quarter,1.0-1.99,No,College Owned/Operated,No,No,Yes
074-48-6952,Male,ACT,,,30-36,,3.25-3.49,No,College Owned/Operated,No,No,Yes
411-26-0748,Female,SAT,400-499,500-599,,,3.25-3.49,No,College Owned/Operated,No,No,Yes
487-78-7332,Female,ACT,,,24-29,,3.75+,No,College Owned/Operated,No,No,No
605-17-3676,Male,ACT,,,18-23,,3.75+,No,College Owned/Operated,No,No,Yes
108-59-6582,Male,ACT,,,12-17,Top Quarter,3.75+,No,College Owned/Operated,No,No,Yes
761-59-3105,Male,ACT,,,24-29,,3.25-3.49,No,Off-Campus,No,No,Yes
121-29-4948,Male,SAT,500-599,500-599,,,3.75+,No,College Owned/Operated,No,Yes,Yes
655-51-3756,Female,SAT,400-499,500-599,,,3.00-3.24,No,Off-Campus,No,No,No
120-75-6235,Male,ACT,,,24-29,,3.50-3.74,No,College Owned/Operated,No,No,Yes
075-74-8700,Male,SAT,500-599,500-599,,,1.0-1.99,No,College Owned/Operated,No,No,No
605-18-4087,Female,ACT,,,12-17,,2.50-2.99,No,College Owned/Operated,No,No,Yes
389-53-9013,Female,ACT,,,24-29,,3.75+,No,College Owned/Operated,No,No,No
812-00-7658,Female,ACT,,,18-23,,2.50-2.99,Yes,College Owned/Operated,No,No,Yes
743-61-3133,Female,SAT,400-499,500-599,,,1.0-1.99,No,Off-Campus,No,No,Yes
691-90-9032,Female,SAT,600-699,400-499,,,3.50-3.74,No,College Owned/Operated,No,No,No
524-68-4246,Female,ACT,,,24-29,Top 10,3.50-3.74,No,College Owned/Operated,Yes,No,Yes
198-41-3438,Male,SAT,500-599,500-599,,Top Quarter,2.0-2.49,No,College Owned/Operated,No,No,Yes
981-01-9822,Female,ACT,,,24-29,Top Half,1.0-1.99,No,College Owned/Operated,No,No,No
563-94-1735,Male,ACT,,,18-23,Top Quarter,2.0-2.49,No,College Owned/Operated,No,No,Yes
648-01-9746,Female,SAT,600-699,500-599,,,3.75+,Yes,College Owned/Operated,No,No,No
207-31-3974,Female,ACT,,,18-23,,3.50-3.74,No,College Owned/Operated,No,No,No
289-33-7500,Female,ACT,,,24-29,Top 10,2.50-2.99,No,Off-Campus,No,Yes,Yes
