ticket_number,requestor_fname,requestor_lname,owner_group,issue_category,ticket_type,severity,days_open,statisfaction_score,ticket status,created_date
868-621155-0067-5-Z,Marj,MacDonald,Architecture,Hardware,Issue,0 - Unassigned,21,2 - Satisfied,Waiting for Requestor Feedback,10/21/2020
772-784703-1293-4-P,Chrissie,Abrahams,Software,Software,Issue,3 - High,8,3 - Highly Satisfied,Resolved,4/3/2020
161-054252-5314-9-T,Cristin,Sproson,Hardware,Hardware,Request,1 - Low,13,2 - Satisfied,Open,5/30/2020
183-729784-4057-1-J,Skipp,Hansberry,Software,Access/Login,Request,0 - Unassigned,29,0 - Unknown,Open,4/3/2020
701-452366-9218-9-Q,Clarette,Rouke,Software,Access/Login,Request,0 - Unassigned,35,0 - Unknown,Open,10/8/2020
381-480207-9735-8-Y,Elie,Tuxell,Software,Access/Login,Issue,2 - Medium,4,0 - Unknown,Waiting for Requestor Feedback,7/8/2020
722-555327-1129-1-G,Ivor,Mander,Software,Access/Login,Issue,0 - Unassigned,30,0 - Unknown,Open,3/7/2020
215-457155-7726-6-Z,Ive,Slay,Architecture,Systems,Request,0 - Unassigned,13,0 - Unknown,Open,3/8/2020
204-438735-5081-6-P,George,Havesides,Security and Governance,Access/Login,Issue,3 - High,26,0 - Unknown,Open,6/11/2020
901-620637-7769-0-L,Minna,Peerman,Hardware,Systems,Issue,0 - Unassigned,34,1 - Unsatisfied,Open,4/6/2020
962-307649-3378-7-E,Tucky,Winckworth,Networking,Access/Login,Issue,1 - Low,16,1 - Unsatisfied,Closed - No Action,6/22/2020
826-954120-8863-6-S,Shana,Briscoe,Networking,Access/Login,Request,2 - Medium,15,3 - Highly Satisfied,Resolved,4/6/2020
749-077829-9844-9-G,Dawn,Nattrass,Networking,Hardware,Issue,0 - Unassigned,1,0 - Unknown,Open,4/26/2020
885-472312-0740-5-F,Averil,Oslar,Security and Governance,Access/Login,Request,2 - Medium,21,3 - Highly Satisfied,Open,10/13/2020
335-380405-4303-0-W,Rosco,Denning,Architecture,Hardware,Request,3 - High,29,0 - Unknown,Open,10/6/2020
474-397653-1906-3-L,Lynne,Steers,Architecture,Hardware,Request,1 - Low,7,3 - Highly Satisfied,Closed - No Action,8/30/2020
010-496025-8392-7-D,Darcey,Hateley,Networking,Access/Login,Issue,2 - Medium,25,3 - Highly Satisfied,Waiting for Requestor Feedback,4/1/2020
552-081336-3824-6-Y,Durante,Dumbarton,Software,Software,Issue,0 - Unassigned,5,0 - Unknown,Open,10/20/2020
396-893797-7804-7-U,Riordan,Vanyukov,Networking,Access/Login,Request,0 - Unassigned,23,0 - Unknown,Open,4/22/2020
759-398874-1186-8-B,Eleonora,Marner,Networking,Hardware,Request,1 - Low,31,0 - Unknown,Waiting for Requestor Feedback,9/12/2020
452-136485-4498-8-Y,Zaria,Iacovo,Networking,Systems,Request,0 - Unassigned,29,3 - Highly Satisfied,Open,8/10/2020
523-592263-4999-0-Y,Annnora,Benham,Security and Governance,Access/Login,Request,1 - Low,23,0 - Unknown,Open,8/17/2020
197-003473-3616-6-M,Blane,Dundendale,Software,Access/Login,Issue,0 - Unassigned,2,3 - Highly Satisfied,Open,8/10/2020
481-029541-2432-3-Q,Lissa,Loftie,Architecture,Systems,Request,1 - Low,24,2 - Satisfied,Waiting for Requestor Feedback,4/28/2020
589-375890-4862-1-M,Regan,Feldmus,Architecture,Systems,Request,0 - Unassigned,28,0 - Unknown,Waiting for Requestor Feedback,5/27/2020
058-202189-3074-1-F,Maisie,Bearns,Hardware,Systems,Request,2 - Medium,4,2 - Satisfied,Open,10/3/2020
090-604010-7940-6-B,Kris,Dollin,Security and Governance,Access/Login,Issue,0 - Unassigned,29,0 - Unknown,Open,6/24/2020
718-786927-1557-7-V,Shaine,Meachan,Architecture,Systems,Request,1 - Low,32,0 - Unknown,Open,4/8/2020
835-464083-2610-6-O,Alonso,Dumsday,Networking,Systems,Request,1 - Low,8,0 - Unknown,Open,6/19/2020
687-590161-4154-0-G,Cassandry,Rotherham,Hardware,Hardware,Issue,0 - Unassigned,3,0 - Unknown,Open,3/25/2020
924-913887-2742-6-O,Lainey,Warlawe,Software,Software,Issue,1 - Low,18,1 - Unsatisfied,Open,7/8/2020
022-155142-9893-3-F,Elmira,Kefford,Hardware,Systems,Issue,1 - Low,1,0 - Unknown,Open,7/9/2020
678-554150-6652-0-B,Seana,Snoding,Security and Governance,Access/Login,Request,2 - Medium,24,0 - Unknown,Open,4/2/2020
478-560603-4980-2-Y,Lexie,Aleksandrev,Software,Software,Issue,2 - Medium,7,0 - Unknown,Waiting for Requestor Feedback,4/24/2020
323-810636-4282-3-O,Jesselyn,Deeman,Security and Governance,Access/Login,Request,1 - Low,17,3 - Highly Satisfied,Open,4/24/2020
121-182107-5140-4-O,Erv,Chipperfield,Networking,Systems,Request,0 - Unassigned,29,0 - Unknown,Open,4/16/2020
428-176002-9201-3-L,Xena,MacGeffen,Architecture,Hardware,Issue,1 - Low,9,3 - Highly Satisfied,Open,7/22/2020
731-939298-7977-2-H,Nev,Smoughton,Architecture,Systems,Request,1 - Low,12,0 - Unknown,Waiting for Requestor Feedback,9/11/2020
308-975368-8237-1-R,Jeannette,Bulman,Hardware,Systems,Request,1 - Low,23,3 - Highly Satisfied,Resolved,5/21/2020
532-499682-4084-0-F,Casey,Pedrielli,Security and Governance,Access/Login,Issue,3 - High,10,2 - Satisfied,Waiting for Requestor Feedback,9/27/2020
505-228463-8746-3-M,Juditha,Scammell,Software,Access/Login,Issue,0 - Unassigned,34,0 - Unknown,Open,8/7/2020
303-870980-0284-9-Q,Xenia,Beckerleg,Architecture,Systems,Issue,3 - High,32,3 - Highly Satisfied,Open,8/29/2020
804-494803-8148-5-F,Carr,Crossby,Hardware,Systems,Request,1 - Low,28,0 - Unknown,Open,4/25/2020
576-322888-1358-5-B,Fern,Gallimore,Hardware,Hardware,Request,0 - Unassigned,6,3 - Highly Satisfied,Waiting for Requestor Feedback,6/26/2020
677-431070-0137-2-D,Lazar,Pomfrett,Networking,Systems,Issue,1 - Low,31,3 - Highly Satisfied,Open,6/18/2020
780-107652-7570-3-L,Lisbeth,Mattisssen,Security and Governance,Access/Login,Request,2 - Medium,26,2 - Satisfied,Open,10/10/2020
853-318991-6370-9-F,Hilary,Milvarnie,Networking,Hardware,Issue,1 - Low,24,2 - Satisfied,Open,6/2/2020
146-305630-7744-5-H,Gage,McMorran,Networking,Hardware,Request,0 - Unassigned,23,1 - Unsatisfied,Open,6/16/2020
466-041663-9475-9-K,Giralda,Bratty,Hardware,Systems,Issue,3 - High,36,0 - Unknown,Resolved,3/12/2020
583-287863-4898-9-Z,Latashia,Cursons,Software,Access/Login,Request,1 - Low,27,2 - Satisfied,Open,7/2/2020
337-098914-3428-1-U,Nick,Haire,Networking,Systems,Issue,1 - Low,31,3 - Highly Satisfied,Waiting for Requestor Feedback,3/20/2020
234-020578-0993-1-Q,Kori,Mucklo,Hardware,Hardware,Request,1 - Low,28,1 - Unsatisfied,Open,7/1/2020
023-861379-4314-3-K,Kerwin,Allans,Hardware,Hardware,Request,2 - Medium,2,0 - Unknown,Open,5/11/2020
575-470286-8509-0-G,Chlo,Birds,Hardware,Hardware,Request,0 - Unassigned,17,0 - Unknown,Open,8/8/2020
802-480639-3313-6-Z,Wheeler,Skillicorn,Software,Software,Issue,3 - High,5,0 - Unknown,Open,10/14/2020
875-690128-5033-9-Q,Clint,McAvin,Software,Access/Login,Request,2 - Medium,14,0 - Unknown,Open,6/15/2020
664-310051-8525-1-K,Marcelo,Hammarberg,Security and Governance,Access/Login,Issue,1 - Low,1,0 - Unknown,Open,4/22/2020
812-199180-7264-8-O,Reuven,Blick,Software,Software,Request,0 - Unassigned,34,0 - Unknown,Open,6/11/2020
322-546699-0301-7-D,Cody,Ohlsen,Architecture,Systems,Issue,2 - Medium,32,0 - Unknown,Open,5/25/2020
774-114222-4662-9-K,Erna,Hewertson,Networking,Access/Login,Request,1 - Low,25,0 - Unknown,Open,9/21/2020
263-872260-3819-3-D,Lloyd,Dutnell,Architecture,Systems,Request,0 - Unassigned,26,2 - Satisfied,Open,9/9/2020
719-357563-6514-4-B,Maridel,Roscher,Security and Governance,Access/Login,Request,1 - Low,5,3 - Highly Satisfied,Open,9/12/2020
776-358177-3891-5-Y,Rosamond,Propper,Security and Governance,Access/Login,Request,2 - Medium,19,3 - Highly Satisfied,Open,10/12/2020
880-238595-9418-2-V,Odella,Warlawe,Architecture,Hardware,Issue,2 - Medium,15,2 - Satisfied,Open,10/4/2020
465-242679-8411-3-U,Wendi,Sherman,Hardware,Systems,Issue,3 - High,18,0 - Unknown,Open,7/9/2020
323-277899-6571-7-J,Yevette,Luther,Hardware,Systems,Request,0 - Unassigned,28,0 - Unknown,Open,4/7/2020
261-798463-8394-0-M,Thomasin,Delacroix,Hardware,Systems,Request,1 - Low,3,0 - Unknown,Open,3/21/2020
639-972402-2102-6-K,Eyde,Bodimeade,Networking,Hardware,Request,1 - Low,37,0 - Unknown,Resolved,4/30/2020
693-976773-0468-1-L,Ellie,Caddan,Networking,Access/Login,Request,1 - Low,37,2 - Satisfied,Open,5/2/2020
501-815313-2366-4-H,Buffy,Cornborough,Architecture,Hardware,Request,0 - Unassigned,22,0 - Unknown,Open,5/19/2020
923-791146-4927-1-Z,Veronike,Edelmann,Networking,Systems,Request,0 - Unassigned,25,2 - Satisfied,Open,3/13/2020
408-535181-5132-7-P,Grantley,Spybey,Security and Governance,Access/Login,Request,3 - High,7,2 - Satisfied,Open,10/29/2020
818-384253-2179-9-Z,Christian,Adran,Architecture,Systems,Request,1 - Low,5,0 - Unknown,Open,9/16/2020
273-116892-8004-6-T,Gorden,Hucker,Architecture,Systems,Issue,3 - High,14,0 - Unknown,Open,6/24/2020
065-241932-8028-4-F,Ardene,Christon,Hardware,Hardware,Request,2 - Medium,8,0 - Unknown,Open,10/18/2020
951-630064-9109-3-D,Randal,Herries,Software,Access/Login,Request,0 - Unassigned,5,3 - Highly Satisfied,Open,9/2/2020
050-176864-1951-2-W,Odey,Godfree,Hardware,Systems,Issue,1 - Low,28,3 - Highly Satisfied,Open,6/14/2020
600-207852-8525-7-O,Jarred,Gencke,Hardware,Systems,Request,0 - Unassigned,6,2 - Satisfied,Open,8/3/2020
809-859724-2480-3-Z,Demetre,Binch,Hardware,Systems,Request,0 - Unassigned,19,0 - Unknown,Open,6/19/2020
554-806393-7885-7-N,Broddy,Eastham,Architecture,Systems,Issue,1 - Low,24,0 - Unknown,Waiting for Requestor Feedback,4/23/2020
679-760816-1789-1-V,Evangeline,Heinemann,Networking,Hardware,Request,1 - Low,23,2 - Satisfied,Open,9/15/2020
729-480710-6365-3-P,Etta,Guilder,Architecture,Systems,Issue,2 - Medium,27,2 - Satisfied,Open,3/20/2020
395-682700-9941-6-K,Menard,Blaydes,Architecture,Systems,Issue,1 - Low,28,1 - Unsatisfied,Open,7/8/2020
496-811602-4783-0-R,Verney,Chateau,Hardware,Hardware,Request,0 - Unassigned,20,2 - Satisfied,Open,10/30/2020
569-247784-1055-0-P,Colly,Grealey,Security and Governance,Access/Login,Issue,0 - Unassigned,9,2 - Satisfied,Closed - No Action,3/27/2020
207-474701-9767-0-C,Kizzee,Woolvin,Security and Governance,Access/Login,Request,0 - Unassigned,1,2 - Satisfied,Waiting for Requestor Feedback,6/7/2020
227-926084-7448-1-E,Robyn,Goodday,Architecture,Systems,Issue,3 - High,8,1 - Unsatisfied,Open,6/11/2020
669-944024-2549-6-X,Ursulina,Albion,Hardware,Systems,Issue,3 - High,23,0 - Unknown,Open,3/10/2020
304-177310-2269-8-A,Esme,Yegoshin,Hardware,Hardware,Request,2 - Medium,24,3 - Highly Satisfied,Open,7/18/2020
779-058147-8164-7-A,Jake,Eckery,Software,Software,Issue,0 - Unassigned,12,0 - Unknown,Waiting for Requestor Feedback,10/13/2020
314-249571-5638-6-M,Valery,Guyer,Networking,Hardware,Issue,1 - Low,2,0 - Unknown,Open,6/21/2020
394-207591-0062-9-J,Saree,Matthisson,Security and Governance,Access/Login,Request,0 - Unassigned,35,0 - Unknown,Open,9/10/2020
143-841113-0920-5-N,Farley,Hawker,Software,Software,Issue,0 - Unassigned,12,0 - Unknown,Waiting for Requestor Feedback,4/26/2020
586-173286-2716-4-M,Fergus,Tomley,Architecture,Hardware,Request,1 - Low,37,2 - Satisfied,Open,8/6/2020
603-860801-7186-5-C,Feodor,Hovard,Hardware,Hardware,Request,2 - Medium,34,0 - Unknown,Waiting for Requestor Feedback,8/7/2020
259-979494-3866-4-D,Meredith,Sandilands,Hardware,Systems,Issue,0 - Unassigned,29,0 - Unknown,Open,8/19/2020
217-020475-3846-7-U,Melessa,Hancell,Networking,Access/Login,Request,3 - High,20,3 - Highly Satisfied,Open,6/25/2020
322-300678-1739-2-W,Gib,Leate,Hardware,Hardware,Request,3 - High,17,1 - Unsatisfied,Open,9/22/2020
154-642041-9842-9-Y,Matty,Troyes,Architecture,Systems,Issue,0 - Unassigned,5,3 - Highly Satisfied,Open,6/10/2020
368-304198-6107-9-A,Aland,Julyan,Security and Governance,Access/Login,Issue,2 - Medium,9,2 - Satisfied,Open,10/1/2020
144-450149-7521-0-G,Killie,Horche,Networking,Hardware,Issue,3 - High,20,2 - Satisfied,Open,7/12/2020
117-238212-0263-4-J,Calv,Alvarado,Software,Software,Issue,1 - Low,29,1 - Unsatisfied,Resolved,3/11/2020
553-526690-5093-2-J,Nollie,Iacobini,Security and Governance,Access/Login,Issue,0 - Unassigned,4,1 - Unsatisfied,Open,9/6/2020
193-929237-3653-9-J,Kingsly,Leteurtre,Hardware,Hardware,Request,2 - Medium,8,3 - Highly Satisfied,Waiting for Requestor Feedback,8/15/2020
377-010656-0881-6-T,Ignaz,Manicom,Networking,Access/Login,Request,1 - Low,23,3 - Highly Satisfied,Resolved,6/14/2020
380-877976-6661-0-O,Jillian,Khan,Architecture,Systems,Request,0 - Unassigned,10,0 - Unknown,Open,10/19/2020
133-439739-4145-3-X,Cyrus,Bambridge,Hardware,Hardware,Request,2 - Medium,1,0 - Unknown,Open,8/25/2020
334-011698-7886-2-Y,Dar,Moreinu,Security and Governance,Access/Login,Request,1 - Low,14,3 - Highly Satisfied,Open,10/20/2020
423-912333-8831-6-S,Mellisa,Lindro,Security and Governance,Access/Login,Issue,1 - Low,34,1 - Unsatisfied,Open,5/3/2020
754-265570-7337-7-W,Binnie,Vivians,Networking,Hardware,Request,0 - Unassigned,5,2 - Satisfied,Open,10/28/2020
779-618899-9774-8-T,Chen,Kuna,Architecture,Hardware,Request,2 - Medium,28,0 - Unknown,Resolved,7/23/2020
227-711299-6714-4-Y,Tony,Skirlin,Software,Access/Login,Issue,1 - Low,10,2 - Satisfied,Open,5/6/2020
565-542494-1642-7-N,Eirena,Antonetti,Hardware,Systems,Issue,0 - Unassigned,26,0 - Unknown,Open,9/7/2020
571-247163-7186-8-A,Klara,Heliet,Networking,Systems,Issue,3 - High,13,0 - Unknown,Open,4/14/2020
286-612874-8224-1-L,Bucky,Mingaye,Security and Governance,Access/Login,Request,3 - High,12,3 - Highly Satisfied,Waiting for Requestor Feedback,8/26/2020
339-171839-0505-5-D,Robert,Kestin,Architecture,Hardware,Issue,0 - Unassigned,19,0 - Unknown,Open,8/28/2020
007-940488-1189-4-E,Faulkner,Eldon,Software,Access/Login,Request,1 - Low,8,1 - Unsatisfied,Open,4/19/2020
693-963779-7018-3-G,Tamar,Garces,Software,Software,Issue,3 - High,37,0 - Unknown,Open,7/27/2020
761-591929-0318-9-R,Antonia,De Winton,Software,Software,Request,2 - Medium,5,0 - Unknown,Open,8/7/2020
230-799256-7067-7-I,Oberon,Hanretty,Security and Governance,Access/Login,Request,3 - High,27,2 - Satisfied,Open,3/3/2020
106-526301-1743-0-V,Normy,Merkle,Security and Governance,Access/Login,Request,3 - High,15,0 - Unknown,Open,4/5/2020
036-954715-1386-9-Z,Karia,Botten,Architecture,Systems,Issue,0 - Unassigned,36,0 - Unknown,Open,6/2/2020
299-849362-5996-3-B,Desiree,Pollak,Hardware,Hardware,Request,0 - Unassigned,21,0 - Unknown,Waiting for Requestor Feedback,9/10/2020
620-320133-6573-9-P,Lori,Dives,Security and Governance,Access/Login,Request,2 - Medium,2,0 - Unknown,Waiting for Requestor Feedback,4/22/2020
125-244463-4352-7-I,Rosanne,Dye,Networking,Systems,Request,1 - Low,4,3 - Highly Satisfied,Open,3/24/2020
317-853660-9025-8-L,Kai,Fagge,Software,Software,Issue,0 - Unassigned,28,0 - Unknown,Open,5/29/2020
103-242720-7082-8-P,Deanne,Bissiker,Security and Governance,Access/Login,Issue,0 - Unassigned,16,2 - Satisfied,Open,10/12/2020
729-167591-7059-5-L,Simmonds,Tooley,Software,Access/Login,Request,2 - Medium,31,0 - Unknown,Resolved,3/18/2020
735-425959-2291-5-A,Erl,Karlolak,Networking,Access/Login,Request,2 - Medium,7,0 - Unknown,Open,3/24/2020
240-372128-3980-8-L,Adella,O'Doherty,Security and Governance,Access/Login,Request,3 - High,21,0 - Unknown,Waiting for Requestor Feedback,3/13/2020
353-541167-1201-1-Y,Pansie,Gonnet,Hardware,Hardware,Issue,3 - High,5,2 - Satisfied,Open,3/11/2020
311-973772-5362-7-S,Jillian,Godin,Hardware,Hardware,Issue,2 - Medium,29,3 - Highly Satisfied,Waiting for Requestor Feedback,8/26/2020
966-013999-0429-9-A,Lulu,Carmichael,Software,Software,Request,1 - Low,35,3 - Highly Satisfied,Open,8/25/2020
205-156682-0735-6-T,Nat,Foskett,Software,Software,Request,1 - Low,21,3 - Highly Satisfied,Open,4/5/2020
652-464074-4546-7-E,Jenna,Piatkow,Hardware,Hardware,Issue,0 - Unassigned,36,0 - Unknown,Open,3/21/2020
580-953403-8823-4-N,Annecorinne,Shafe,Software,Access/Login,Request,1 - Low,32,2 - Satisfied,Open,3/24/2020
250-975406-5413-6-Z,Marsha,Cronin,Hardware,Hardware,Issue,3 - High,22,0 - Unknown,Open,7/24/2020
679-220097-8225-7-A,Gawen,Craigheid,Architecture,Hardware,Request,1 - Low,23,1 - Unsatisfied,Open,7/7/2020
654-743160-7603-7-D,Inez,McArte,Security and Governance,Access/Login,Request,2 - Medium,32,2 - Satisfied,Resolved,9/21/2020
157-394110-3193-2-A,Lyn,Marquis,Hardware,Systems,Request,2 - Medium,23,3 - Highly Satisfied,Resolved,7/4/2020
324-297917-8978-0-E,Anselm,Walework,Software,Access/Login,Request,2 - Medium,34,3 - Highly Satisfied,Open,6/4/2020
625-111256-6118-9-U,Marley,Romero,Networking,Hardware,Request,1 - Low,10,1 - Unsatisfied,Open,10/1/2020
566-326412-7217-2-Y,Benton,Fleeming,Networking,Hardware,Request,0 - Unassigned,35,2 - Satisfied,Open,3/17/2020
878-385151-4020-4-R,Garner,Kupec,Security and Governance,Access/Login,Request,2 - Medium,13,2 - Satisfied,Open,8/18/2020
187-179993-4472-7-I,Conni,Alans,Software,Software,Request,0 - Unassigned,9,3 - Highly Satisfied,Open,10/4/2020
604-213521-5403-1-Y,Nedi,Fripp,Networking,Systems,Request,2 - Medium,21,0 - Unknown,Resolved,5/27/2020
535-174609-9173-3-H,Arvie,McGaraghan,Networking,Hardware,Issue,2 - Medium,25,2 - Satisfied,Waiting for Requestor Feedback,8/28/2020
891-979907-3979-9-V,Karim,Branson,Networking,Hardware,Issue,0 - Unassigned,7,2 - Satisfied,Open,4/6/2020
970-543610-5776-2-R,Jaquelin,Bisson,Security and Governance,Access/Login,Issue,3 - High,25,3 - Highly Satisfied,Open,8/20/2020
595-348858-1736-9-O,Samara,Abbs,Hardware,Systems,Issue,3 - High,19,0 - Unknown,Open,6/7/2020
223-178535-7952-4-I,Parke,Clethro,Architecture,Hardware,Request,0 - Unassigned,8,2 - Satisfied,Open,6/22/2020
193-572909-7764-9-J,Edik,Degoey,Security and Governance,Access/Login,Issue,0 - Unassigned,33,0 - Unknown,Waiting for Requestor Feedback,9/11/2020
390-893619-8562-0-J,Darcy,Cochern,Software,Access/Login,Issue,0 - Unassigned,29,2 - Satisfied,Open,8/8/2020
796-898382-5931-4-Z,Ephrayim,Kenway,Hardware,Hardware,Issue,1 - Low,15,2 - Satisfied,Open,7/8/2020
526-352830-9343-2-J,Sapphire,Garett,Security and Governance,Access/Login,Issue,0 - Unassigned,29,0 - Unknown,Resolved,10/20/2020
767-951600-5718-8-Z,Dulciana,Muat,Architecture,Hardware,Request,3 - High,20,1 - Unsatisfied,Open,3/26/2020
085-217337-3017-5-O,Jeri,Hewes,Software,Software,Issue,0 - Unassigned,2,0 - Unknown,Open,3/17/2020
551-657556-0428-8-S,Angele,Crispin,Networking,Access/Login,Request,0 - Unassigned,22,3 - Highly Satisfied,Open,8/7/2020
924-290422-5019-6-N,Elfie,Godball,Networking,Access/Login,Request,0 - Unassigned,11,0 - Unknown,Waiting for Requestor Feedback,6/25/2020
195-556235-6645-7-A,Natka,McGuiness,Networking,Systems,Request,2 - Medium,7,2 - Satisfied,Open,3/11/2020
999-496528-5617-9-V,Merilyn,Amesbury,Networking,Access/Login,Issue,1 - Low,20,3 - Highly Satisfied,Resolved,5/14/2020
765-504667-2259-4-I,Darryl,Shoreman,Architecture,Hardware,Issue,2 - Medium,8,3 - Highly Satisfied,Waiting for Requestor Feedback,7/21/2020
346-526719-5123-0-A,Jojo,Melrose,Architecture,Hardware,Request,0 - Unassigned,14,3 - Highly Satisfied,Open,5/17/2020
455-984184-6989-3-H,Gale,Clews,Hardware,Hardware,Issue,2 - Medium,13,3 - Highly Satisfied,Waiting for Requestor Feedback,6/11/2020
721-232774-2123-1-R,Ware,Tousy,Security and Governance,Access/Login,Request,2 - Medium,17,3 - Highly Satisfied,Open,8/14/2020
601-794542-2966-9-V,Hugo,Esp,Networking,Access/Login,Issue,1 - Low,1,1 - Unsatisfied,Open,10/27/2020
848-083637-8537-3-F,Rudy,Adelsberg,Networking,Systems,Request,0 - Unassigned,31,2 - Satisfied,Waiting for Requestor Feedback,8/7/2020
501-222888-0823-9-I,Maud,Lippingwell,Architecture,Systems,Issue,0 - Unassigned,37,2 - Satisfied,Open,3/31/2020
389-856619-7022-1-H,Brit,Palomba,Networking,Hardware,Issue,0 - Unassigned,28,0 - Unknown,Open,4/20/2020
017-520228-7892-2-V,Lillian,Shenfisch,Networking,Hardware,Issue,2 - Medium,16,0 - Unknown,Open,8/18/2020
046-993953-8629-5-O,Leigh,Iiannone,Architecture,Hardware,Request,0 - Unassigned,17,0 - Unknown,Resolved,4/26/2020
391-366359-3087-2-L,Vernen,Mallon,Networking,Access/Login,Issue,1 - Low,21,1 - Unsatisfied,Open,5/21/2020
367-946096-9144-2-W,Emelda,Goldbourn,Software,Access/Login,Request,1 - Low,23,2 - Satisfied,Resolved,10/13/2020
025-079982-5636-5-J,Panchito,Loade,Hardware,Hardware,Issue,1 - Low,30,2 - Satisfied,Open,10/11/2020
371-027371-2890-4-I,Greta,Idney,Networking,Systems,Issue,1 - Low,21,2 - Satisfied,Open,10/24/2020
050-657370-9367-6-A,Granville,Lowes,Architecture,Hardware,Issue,2 - Medium,18,3 - Highly Satisfied,Resolved,4/28/2020
823-255335-2533-5-D,Elwood,Pendrid,Software,Access/Login,Request,1 - Low,13,3 - Highly Satisfied,Open,6/5/2020
661-820461-0730-1-J,Emanuele,Breeton,Architecture,Systems,Request,2 - Medium,16,2 - Satisfied,Resolved,5/25/2020
865-413404-1589-4-E,Gabi,Bwye,Networking,Systems,Issue,0 - Unassigned,2,0 - Unknown,Open,6/28/2020
777-344940-9535-8-W,Amalle,Emmanueli,Architecture,Systems,Request,2 - Medium,21,0 - Unknown,Open,7/30/2020
789-126912-4643-7-P,Kerby,Davidovic,Networking,Systems,Issue,0 - Unassigned,30,0 - Unknown,Closed - No Action,3/12/2020
804-456068-9066-7-V,Marcela,Tarzey,Architecture,Systems,Issue,1 - Low,13,2 - Satisfied,Open,4/28/2020
802-093843-9910-7-U,Hermina,Curwood,Hardware,Systems,Issue,1 - Low,14,3 - Highly Satisfied,Open,9/24/2020
704-073767-2589-8-I,Hedwig,Haylands,Hardware,Hardware,Request,1 - Low,33,0 - Unknown,Resolved,8/20/2020
724-395843-8689-2-J,Odilia,Eaglen,Software,Access/Login,Issue,2 - Medium,1,2 - Satisfied,Open,7/1/2020
504-229845-6178-0-S,Nathanael,Muddimer,Architecture,Systems,Request,0 - Unassigned,2,3 - Highly Satisfied,Open,3/14/2020
999-098154-8667-7-T,Lib,Pragnell,Software,Software,Request,1 - Low,24,1 - Unsatisfied,Open,5/19/2020
682-773198-0774-6-X,William,Tows,Security and Governance,Access/Login,Request,2 - Medium,10,0 - Unknown,Open,6/13/2020
613-570325-2132-3-M,Stevana,Romagnosi,Software,Software,Request,3 - High,25,2 - Satisfied,Waiting for Requestor Feedback,7/30/2020
259-313253-3955-2-G,Melony,Clarkin,Security and Governance,Access/Login,Issue,0 - Unassigned,14,1 - Unsatisfied,Resolved,7/8/2020
103-833932-9845-0-C,Nerta,Chilton,Architecture,Hardware,Request,1 - Low,7,2 - Satisfied,Open,10/2/2020
690-670632-3402-2-L,Carny,Annies,Software,Software,Request,3 - High,25,2 - Satisfied,Open,7/31/2020
153-540208-3232-6-V,Joannes,Tregidga,Networking,Access/Login,Request,1 - Low,11,1 - Unsatisfied,Open,9/13/2020
220-016761-9517-2-F,Feodora,Casillas,Software,Software,Request,0 - Unassigned,10,3 - Highly Satisfied,Open,8/25/2020
707-397590-3623-1-A,Cassandre,Avrahamian,Architecture,Systems,Issue,2 - Medium,15,0 - Unknown,Open,6/2/2020
094-817848-7885-9-Q,Elwyn,Mewrcik,Architecture,Hardware,Issue,1 - Low,4,3 - Highly Satisfied,Open,4/8/2020
673-170250-6512-5-N,Corbet,Hawtry,Software,Software,Issue,3 - High,22,2 - Satisfied,Waiting for Requestor Feedback,7/4/2020
620-584838-2424-8-H,Cam,Ganing,Security and Governance,Access/Login,Issue,0 - Unassigned,32,0 - Unknown,Open,4/4/2020
433-485235-7157-3-Q,Madge,Corneck,Architecture,Systems,Issue,0 - Unassigned,37,0 - Unknown,Closed - No Action,6/1/2020
253-749601-7790-3-H,Brett,Bate,Hardware,Hardware,Request,0 - Unassigned,10,0 - Unknown,Open,9/24/2020
696-387151-0283-2-U,Hank,Conrard,Architecture,Hardware,Request,0 - Unassigned,17,1 - Unsatisfied,Open,4/1/2020
255-432039-4158-5-E,Abe,Grundy,Networking,Systems,Request,2 - Medium,37,0 - Unknown,Open,10/1/2020
506-897598-8676-5-D,Ingeberg,Heel,Networking,Hardware,Request,0 - Unassigned,22,2 - Satisfied,Open,10/28/2020
145-534765-6072-7-H,Row,Matczak,Hardware,Systems,Request,2 - Medium,17,0 - Unknown,Open,7/2/2020
366-865318-4099-3-P,Constantina,Simonett,Architecture,Hardware,Request,3 - High,23,2 - Satisfied,Open,7/1/2020
433-842085-3018-5-X,Dunc,Towson,Hardware,Hardware,Request,0 - Unassigned,18,0 - Unknown,Open,9/11/2020
041-335124-7724-2-E,Bryana,Peasee,Architecture,Systems,Issue,1 - Low,33,0 - Unknown,Open,3/30/2020
219-275447-1268-9-O,Suki,Fetherstone,Networking,Systems,Request,1 - Low,16,3 - Highly Satisfied,Open,7/29/2020
181-729424-5057-8-C,Katherine,Porritt,Networking,Access/Login,Request,0 - Unassigned,13,2 - Satisfied,Open,5/17/2020
444-041326-9089-1-T,Christen,Spadari,Security and Governance,Access/Login,Request,1 - Low,11,0 - Unknown,Open,10/5/2020
642-414711-2061-5-U,Woodman,Clemenzi,Architecture,Hardware,Issue,2 - Medium,10,0 - Unknown,Open,3/20/2020
232-895566-4698-9-W,Rozele,Sirkett,Architecture,Hardware,Request,0 - Unassigned,2,0 - Unknown,Open,5/19/2020
